frame,Mis-Fire Monitor Status,Mis-Fire Counter-200 REV,Mis-Fire Counter CAT 200 Rev,Cylinder 1 FTP Mis-Fire Counter,Cylinder 2 FTP Mis-Fire Counter,Cylinder 3 FTP Mis-Fire Counter,Cylinder 4 FTP Mis-Fire Counter,Cylinder 5 FTP Mis-Fire Counter,Cylinder 6 FTP Mis-Fire Counter,Cylinder 7 FTP Mis-Fire Counter,Cylinder 8 FTP Mis-Fire Counter
182,,796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,,770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,,666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,,597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,,548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,,495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,,774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,,792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,,508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,,792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,,685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
