frame,Mis-Fire Monitor Status,Mis-Fire Counter-200 REV,Mis-Fire Counter CAT 200 Rev,Cylinder 1 FTP Mis-Fire Counter,Cylinder 2 FTP Mis-Fire Counter,Cylinder 3 FTP Mis-Fire Counter,Cylinder 4 FTP Mis-Fire Counter,Cylinder 5 FTP Mis-Fire Counter,Cylinder 6 FTP Mis-Fire Counter,Cylinder 7 FTP Mis-Fire Counter,Cylinder 8 FTP Mis-Fire Counter
124,,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,,665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,,607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,,469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,,773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,,712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,,685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,,658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,,786.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,,734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,,652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,,597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
