frame,TPS 1 Volts,TPS 2 Volts,Engine Speed,Purge AirFlow,Injector Pulse Width Cylinder 1,Injector Pulse Width Cylinder 2,1/1 O2 Goal(0-1),1/1 O2 Volts(0-1)
322,1.25,3.73,1397.0,0.0,6968.0,7128.0,0.61,0.71
323,1.33,3.69,1404.0,0.0,7600.0,7552.0,0.61,0.1
324,1.0,4.0,1391.0,0.0,5392.0,4864.0,0.55,0.86
325,1.28,3.7,1414.0,0.0,6488.0,6648.0,0.59,0.25
326,1.23,3.84,1423.0,0.0,6472.0,5984.0,0.59,0.75
327,1.03,3.95,1410.0,0.0,4704.0,4584.0,0.51,0.84
328,1.12,3.89,1415.0,0.0,4872.0,4992.0,0.49,0.76
329,1.06,3.94,1406.0,0.0,4112.0,4192.0,0.49,0.69
330,1.13,3.86,1415.0,0.0,4952.0,4888.0,0.49,0.14
331,1.11,3.91,1419.0,0.0,4760.0,4752.0,0.53,0.8
332,1.06,3.92,1418.0,0.0,4384.0,4888.0,0.49,0.18
333,1.23,3.77,1422.0,0.0,6096.0,5936.0,0.53,0.04
334,1.02,3.98,1416.0,0.0,4520.0,4688.0,0.57,0.82
335,1.05,3.93,1419.0,0.0,4184.0,4216.0,0.55,0.69
336,1.11,3.89,1413.0,0.0,4736.0,4472.0,0.53,0.55
337,1.12,3.86,1413.0,0.0,4816.0,5328.0,0.53,0.71
338,1.24,3.76,1431.0,0.0,6352.0,6128.0,0.59,0.04
339,1.05,3.95,1419.0,0.0,4800.0,4752.0,0.57,0.84
340,1.06,3.93,1417.0,0.0,4200.0,4336.0,0.57,0.8
341,1.01,3.98,1415.0,0.0,3616.0,3880.0,0.55,0.51
342,1.2,3.79,1420.0,0.0,5232.0,5264.0,0.55,0.06
343,1.14,3.9,1414.0,0.0,5096.0,4856.0,0.57,0.82
344,1.01,3.98,1410.0,0.0,3832.0,3888.0,0.57,0.61
345,1.08,3.92,1414.0,0.0,4192.0,3872.0,0.55,0.39
346,0.85,4.17,1398.0,0.0,2480.0,2552.0,0.55,0.84
347,0.86,4.09,1394.0,0.0,1920.0,2096.0,0.55,0.76
348,1.01,3.99,1393.0,0.0,2696.0,2568.0,0.53,0.06
349,0.82,4.24,1437.0,0.0,1632.0,1640.0,0.55,0.69
350,0.75,4.24,1372.0,0.0,1352.0,1856.0,0.57,0.82
351,0.95,4.05,1399.0,0.0,1912.0,2216.0,0.57,0.37
352,0.96,4.04,1408.0,0.0,2520.0,2600.0,0.55,0.06
353,0.96,4.04,1437.0,0.0,2656.0,2920.0,0.55,0.47
354,0.95,4.05,1409.0,0.0,2520.0,2888.0,0.57,0.53
355,0.93,4.07,1408.0,0.0,2552.0,2576.0,0.57,0.1
356,0.89,4.11,1376.0,0.0,2056.0,2136.0,0.61,0.8
357,0.91,4.09,1357.0,0.0,2088.0,2320.0,0.61,0.1
358,0.81,4.2,1324.0,0.0,1576.0,1640.0,0.61,0.18
359,0.78,4.22,1328.0,0.0,1240.0,1144.0,0.61,0.76
360,0.8,4.2,1307.0,0.0,1168.0,1080.0,0.55,0.84
361,0.78,4.23,1321.0,0.0,896.0,912.0,0.53,0.86
362,0.77,4.22,1295.0,0.0,1256.0,1248.0,0.49,0.78
363,1.0,4.0,1324.0,0.0,2248.0,2568.0,0.57,0.16
364,0.97,4.05,1373.0,0.0,2680.0,2808.0,0.55,0.08
365,0.81,4.2,1260.0,0.0,1832.0,1704.0,0.57,0.8
366,0.84,4.14,1281.0,0.0,1664.0,1680.0,0.57,0.84
367,0.91,4.09,1283.0,0.0,1968.0,2040.0,0.57,0.16
